Location,General government expenditure,Per capita government expenditure on health (PPP int. $),Per capita government expenditure on health at average exchange rate (US$),Per capita total expenditure on health (PPP int. $),Per capita total expenditure on health at average exchange rate (US$),Private expenditure on health as percentage of total expenditure on health,Private prepaid plans as percentage of private expenditure on health,Total expenditure on health as percentage of gross domestic product
Romania,0.12,433.00,224.00,610.00,315.00,0.29,0.14,0.06
Russian Federation,0.11,404.00,233.00,638.00,369.00,0.37,0.10,0.05
Rwanda,0.27,134.00,21.00,210.00,32.00,0.36,0.14,0.10
Saint Kitts and Nevis,0.10,403.00,350.00,654.00,569.00,0.39,0.05,0.06
Saint Lucia,0.10,237.00,191.00,421.00,339.00,0.44,0.06,0.06
Saint Vincent and the Grenadines,0.09,289.00,146.00,461.00,233.00,0.37,,0.06
Samoa,0.11,188.00,97.00,232.00,120.00,0.19,0.00,0.05
San Marino,0.13,2765.00,3011.00,3297.00,3591.00,0.16,0.04,0.07
Sao Tome and Principe,0.12,120.00,49.00,141.00,58.00,0.15,0.00,0.11
Saudi Arabia,0.09,468.00,379.00,607.00,491.00,0.23,0.52,0.03
Senegal,0.07,23.00,13.00,72.00,40.00,0.69,0.09,0.05
Serbia,0.14,373.00,176.00,525.00,247.00,0.29,,0.08
Seychelles,0.09,602.00,425.00,812.00,573.00,0.26,0.00,0.07
Sierra Leone,0.08,20.00,4.00,41.00,9.00,0.51,0.00,0.04
Singapore,0.05,413.00,348.00,1228.00,1035.00,0.66,0.03,0.03
Slovakia,0.14,913.00,531.00,1235.00,718.00,0.26,0.00,0.07
Slovenia,0.14,1507.00,1167.00,2065.00,1599.00,0.27,0.49,0.08
Solomon Islands,0.13,99.00,31.00,107.00,34.00,0.07,0.00,0.05
Somalia,0.04,8.00,4.00,18.00,8.00,0.55,0.00,0.03
South Africa,0.10,364.00,191.00,869.00,456.00,0.58,0.78,0.09
Spain,0.15,1732.00,1641.00,2388.00,2263.00,0.28,0.24,0.08
Sri Lanka,0.08,105.00,30.00,213.00,60.00,0.51,0.10,0.04
Sudan,0.06,23.00,14.00,61.00,38.00,0.63,,0.04
Suriname,0.08,151.00,107.00,361.00,254.00,0.58,0.01,0.07
Swaziland,0.09,219.00,86.00,353.00,138.00,0.38,0.19,0.06
Sweden,0.13,2533.00,3143.00,3119.00,3870.00,0.19,0.02,0.09
Switzerland,0.20,2598.00,3541.00,4312.00,5878.00,0.40,0.22,0.11
Syrian Arab Republic,0.06,52.00,31.00,109.00,66.00,0.52,0.00,0.04
Tajikistan,0.06,16.00,5.00,71.00,21.00,0.77,0.00,0.05
Thailand,0.11,223.00,73.00,346.00,113.00,0.36,0.16,0.04
The former Yugoslav Republic of Macedonia,0.17,446.00,176.00,623.00,245.00,0.28,,0.08
Timor-Leste,0.16,150.00,46.00,169.00,52.00,0.11,0.00,0.16
Togo,0.07,20.00,5.00,70.00,19.00,0.72,0.04,0.06
Tonga,0.11,218.00,91.00,289.00,121.00,0.25,0.04,0.05
Trinidad and Tobago,0.07,438.00,307.00,811.00,568.00,0.46,0.07,0.04
Tunisia,0.07,214.00,70.00,488.00,159.00,0.56,0.17,0.05
Turkey,0.17,461.00,290.00,645.00,406.00,0.29,0.13,0.06
Turkmenistan,0.15,172.00,108.00,259.00,161.00,0.33,0.00,0.05
Tuvalu,0.16,189.00,259.00,205.00,281.00,0.08,0.00,0.11
Uganda,0.10,39.00,7.00,143.00,25.00,0.73,0.00,0.07
Ukraine,0.09,298.00,88.00,542.00,159.00,0.45,0.01,0.07
United Arab Emirates,0.09,491.00,716.00,673.00,982.00,0.27,0.10,0.03
United Kingdom,0.17,2434.00,2939.00,2784.00,3361.00,0.13,0.08,0.08
United Republic of Tanzania,0.13,27.00,11.00,45.00,18.00,0.41,0.05,0.06
United States of America,0.19,3074.00,3074.00,6714.00,6714.00,0.54,0.66,0.15
Uruguay,0.09,430.00,207.00,989.00,476.00,0.57,0.69,0.08
Uzbekistan,0.08,89.00,15.00,177.00,30.00,0.50,0.00,0.05
Vanuatu,0.11,90.00,44.00,139.00,68.00,0.35,0.08,0.04
Venezuela,0.09,196.00,164.00,396.00,332.00,0.51,0.04,0.05
Viet Nam,0.07,86.00,15.00,264.00,46.00,0.68,0.03,0.07
Yemen,0.06,38.00,19.00,82.00,40.00,0.54,,0.05
Zambia,0.11,29.00,23.00,62.00,49.00,0.53,0.01,0.05
Zimbabwe,0.09,77.00,19.00,147.00,36.00,0.47,0.29,0.08
